ID,Tipo,SKU,Nombre,Precio rebajado,Precio normal,Posición,Etiquetas,Categorías,Marcas,Marca,Superior,_regla_oferta
18685,variation,WFT1000RMA-RYL36,Botas De Agua Altas Original Para Mujer Amarillo - 36,89994,149990,1,,,Hunter,Hunter,WFT1000RMA-RYL,Botas mujer/hombre 40% off
18695,variation,WFT1000RMA-SIL40/41,Botas De Agua Altas Original Para Mujer Plateado - 40/41,89994,149990,1,,,Hunter,Hunter,WFT1000RMA-SIL,Botas mujer/hombre 40% off
19040,variation,MFT9000RMA-HGR39,Botas De Agua Altas Original Para Hombre Verde - 39,89994,149990,1,,,Hunter,Hunter,MFT9000RMA-HGR,Botas mujer/hombre 40% off
19048,variation,UAS3036AAB-BLKM,Hunter Calcetín Bota 6 Puntadas 1 - M,23994,39990,1,,,Hunter,Hunter,UAS3036AAB-BLK,Accesorios 40% off
19050,variation,UAS3036AAB-GRGM,Hunter Calcetín Bota 6 Puntadas Beige - M,23994,39990,1,,,Hunter,Hunter,UAS3036AAB-GRG,Accesorios 40% off
19052,variation,UAS3036AAB-GZBM,Hunter Calcetín Bota 6 Puntadas - M,23994,39990,1,,,Hunter,Hunter,UAS3036AAB-GZB,Accesorios 40% off
19061,variation,WAS1017AAC-WHTL,CALCETIN CAR BOTA CORTA BLANCO - L,20394,33990,1,,,Hunter,Hunter,WAS1017AAC-WHT,Accesorios 40% off
19074,variation,WFS1000RGL-MLR40/41,Botas De Agua Bajas Y Brillantes Original Para Mujer Rojo Militar - 40/41,72594,120990,1,,,Hunter,Hunter,WFS1000RGL-MLR,Accesorios 40% off
19088,variation,WFS1043RMA-SUG37,Botas Chelsea Original Para Mujer Verde Suculenta - 37,70194,116990,1,,,Hunter,Hunter,WFS1043RMA-SUG,Botas mujer/hombre 40% off
19111,variation,WFS2020RMA-ZNC36,Botas De Agua Bajas Original Play Para Mujer ZNC - 36,59994,99990,1,,,Hunter,Hunter,WFS2020RMA-ZNC,Botas mujer/hombre 40% off
19122,variation,WFT1000RGL-NVY40/41,Botas Altas Y Brillantes Original Para Mujer Azul Marino - 40/41,77994,129990,1,,,Hunter,Hunter,WFT1000RGL-NVY,Botas mujer/hombre 40% off
19123,variation,WFT1000RGL-RVI36,Botas Altas Y Brillantes Original Para Mujer Morada - 36,77994,129990,1,,,Hunter,Hunter,WFT1000RGL-RVI,Botas mujer/hombre 40% off
19133,variation,WFT1001RGL-BLK40/41,Botas De Agua Altas Y Ajustables Por Detrás Para Mujer Negro - 40/41,107994,179990,1,,,Hunter,Hunter,WFT1001RGL-BLK,Botas mujer/hombre 40% off
19140,variation,WFT1001RMA-BLK42,Botas De Agua Altas Y Ajustables Por Detrás Original Para Mujer Negro - 42,107994,179990,1,,,Hunter,Hunter,WFT1001RMA-BLK,Botas mujer/hombre 40% off
19147,variation,WFT1071RMA-BLK37,Botas Original Refined Para Mujer Negro - 37,101994,169990,1,,,Hunter,Hunter,WFT1071RMA-BLK,Botas mujer/hombre 40% off
19152,variation,WFT2007EXL-OEX36,Botas Altas Original Play Con Logotipo Ampliado Para Mujer - 36,65400,109000,1,,,Hunter,Hunter,WFT2007EXL-OEX,Botas mujer/hombre 40% off
19158,variation,WFT2007RMA-BLK36,Botas De Agua Altas Original Play Para Mujer BLK - 36,65994,109990,1,,,Hunter,Hunter,WFT2007RMA-BLK,Botas mujer/hombre 40% off
19164,variation,WFT2007RMA-LIH36,Botas De Agua Altas Original Play Para Mujer LIH - 36,53994,89990,1,,,Hunter,Hunter,WFT2007RMA-LIH,Botas mujer/hombre 40% off
19170,variation,WFT2007RMA-LRD36,Botas De Agua Altas Original Play Para Mujer LRD - 36,65994,109990,1,,,Hunter,Hunter,WFT2007RMA-LRD,Botas mujer/hombre 40% off
